ulasan_clean,sentimen,,,,,,
gamenya sangat bagus top up nya murah tidak mahal kayak gem yang lain cuma masih ada bugnya tolong di perbaiki soal bugnya juga masih banyak yang cit terus untuk iklan nya juga sedikit boleh juga gem ini,netral,,,,,,
garena tolong benerin gangguan jangan keluar in event saja gangguan juga harus benerin garena dan ada satu lagi garena citer jangan ada lagi biar kita bisa main lancar pas seruan kok ada citer jadi tolong di youtube orang unggah langsung baned saja channel nya karena itu citer,negatif,,,,,,
apalah game ini banyak yang ngecit aku sudah main tahun tapi hampir semua game nya saya main ketemu sama yang ngecit ada yang terbang lah ada yang pakai senjata yang salalu kena pala dan itu buka satu kali dua kali sudah banyak untuk garena tolong yang pakai cit itu di blokir,negatif,,,,,,
dasar game jelek tidak ada pintu kalau memberikan teman tu yang benar setiap main dapat yang tidak waras teros dan sinyal nya waktu di lobi leg banget sudah itu sinyal bagus bahkan ngeleg padahal sinyal putih saya mengambil senjata saja tidak bisa kalu main rank kasih skor rank tu yang benar lagi tim tidak jelas tim jelek musuh bagus malas saya gendong mulu,negatif,,,,,,
buat game ini seru banget aku main sudah dari tidak pernah bosen pkko nya bintang banget buat game ini cuma masih ada beberapa gangguan yang harus di perbaiki kayaknya oke itu saja makasihh,negatif,,,,,,
game nya sudah oke tapi tolong perbaikan sinyalnya kadang setiap ada musuh atau ngewar tiba jaringan lagi parah merah padahal jaringan saya aman saja giliran tidak ada musuh tidak lambat tolong perbaikan ini saja bikin kesel banget setiap ngewar tiba jaringan lambat parah dan gara lambat ini bisa buat handphone saya patah ngecrash,negatif,,,,,,
kenapa saya kasih pintang karena itu tolong perbaikan yang apa itu namanya layar nya pas maen rank sama classquad osok kejang jaringan nana pas lagi ada musuh sering lagi banget pas sudah tidak ada lancar tolong perbaikan ya garena,positif,,,,,,
geme nya seru banget tetapi kadang tidak enak kalau lagi tinggal sebentar langsung afk padahal sudah ngusahain main tetapi tiba saja afk dan kalau lagi naikin rank tiba turun seperti bagaimana saja begitu tetapi geme nya tetap seru kok,positif,,,,,,
cukup kecewa banyak yang tidak senang lihat geme ini sekarang jaringan naik saja handphone patah buat pemain tidak puas kecewa lah pokoknya semakin lama semakin buruk ngeluh tiap naik saja jaringan sudah patah handphone tidak puas main geme busuk lama,negatif,,,,,,
tim aku bot musuhnya pro gangguan jelek tidak mati musuh tidak masuk akal baru ranked memakai senjata xm musuhnya tidak mati jaringan nya atau damage musuh senjata m rank nya turun kurang aku top diamond bahkan tolong perbaikan garenaa,negatif,,,,,,
keluhan saya atau mungkin juga banyak di luar sana sependapat dengan saya hapus awm dari clash squad mereka yang pakai awm sama saja sengaja kalah tidak ada niat buat main hanya menyusahkan squad saat menembak tombol tembak sudah gerak tapi di gamenya tidak ada respons itu terjadi ketika pertukaran senjata dengan cepat tolong itu di perbaikan pemainnya sudah lincah tapi gamenya lambat respons tambahkan opsi laporan bagi pemain yang menunggu timnya mati setelah itu dia bertarung sendiri,negatif,,,,,,
tolong garena adai sensitivitas tppnya biar kita bisa atur sendiri bisa perbesar jarak karakter jarak karakter terlalu kecil jadih patah tolong juga hapus sebagian map jaranng di mainkan orang mapp yang lain agar tidak leg tolong di diringankan patah sekali kalau tambah berat pasti banyak berhenti main teman game saya pada berhenti semua katanya sudah berat ram jadih patah pliiss garena tolong hapus sebagian data datanya yang tidal penting,negatif,,,,,,
gamenya lumayan seru tapi kurang dalam bidang keamanan dan kenyamanan sehingga akun mudah hilang terkena hack dan sesi banned tolong untuk di tambah lagi keamanan dan kenyamanannya,positif,,,,,,
bang garena tolong balikin peak old dahulu sekarang gratis fire makin kurang jelas makin banyak diperbarui bahkan makin banyak yang di ganti tolong balikin peak old dahulu sama sosial nya makin tidak asyik tapi maaf saya hanya mengetik saja tapi saya mohon kembalikan lagi seperti dahulu,positif,,,,,,
gamenya bagus bisa ganti grafiknya jadi tidak jelek dan event dahulu dikeluarkan lagi evo juragan ada dua yang di keluarkan dan bisa mabar tetapi tolong dibenarkan game nya biar tidak ada citer suka ada citer di teraning,negatif,,,,,,
game nya sih bagus tapi saran saya adalah kalau mau ganti nickname tidak perlu pakai diamond kasihan yang tidak bisa ganti nama karena tidak ada diamond mohon saran saya didengarkan demi kemajuan game woi ff harusnya andrew armory di pelayanan pelanggan ranked ada mp woii,positif,,,,,,
saya mohon untuk deplover saya ingin memberi sedikit masukan saya dari dahulu ingin ada fitur untuk tambahan login akun misal nya login akun facebook tapi bisa di kait akan akun yang lain soal nya kalau akun nya cuma satu kasian yang sudah top up banyak akun nya kena blokir kayak saya jadi tidak bisa login lagi kalau ada akun cadangan buat login akan enak mohon segera di tinjau saya pemain lama dari sudah kehilangan akun sakit hatiku habis berapa uang akun hilang mulu karena tidak ada fitur login tambahan,negatif,,,,,,
gangguan damage sudah bertahun tahun banyak sekali diperbarui tapi masih selalu ada kami player sudah merugi untung membeli skin senjata dengan atribut damage yang tinggi tapi nyatanya gangguan damage membuat kami tambah rugi jika memang pihak garena berusaha memberikan kenyamanan untuk para pemainya mohon untuk gangguan damagenya di perbaikan banyak terdapat pada senjata shoot gun walaupun semua damage diarahkan ke kepala tapi musuh tidak mengalami pengurangan damage apa ini yang disebut kenyamanan pemain garena,negatif,,,,,,
game gratis fire ini sangat seru di main akan dan banyak misi nya dan juga banyak even keluarran terbaru saya ingin mencoba menyepin even keluarran terbaru tapi saya tidak punya diamond sama sekali saya ingin diamond,positif,,,,,,
saat main ff sering terjadi gangguan damage contohnya saat sinyal bagus tetapi masih terjadi gangguan damage sudah headshot kali masih belum mati itu kenapa aku kasih bintang,negatif,,,,,,
game ff ini sangat membuat saya terhibur yang di mana banyak player yang sangat jago itu membuat game ini sangat menantang tapi mohon agar game ini tetap stabil dan jangan di tambahkan ramnya,positif,,,,,,
bagus sih tapi ini bagaimana sudah dua hari ini gangguan atau bukan misalnya kalau mau main map apa begitu terus kok ada tulisan membaca informasi game kok begitu bagaimana ini garena ini gangguan atau memangnya,negatif,,,,,,
game nya bagus banget walau pun musuhnya waktu turunn season musuhnya masih padajago tapi masih ada gangguan yang tersisah tapi menurut saya game ini masih bagus aku kasih bintang,negatif,,,,,,
game rusak masak pas main jaringan buruk pas mati bagus ayolah perbaikan makin lama malas kalu iri menang terus jangan di kasih ngelek lah apalagi kalau pas main jaringan bagus bisa lihat tim main lah aku nembak tidak bisa bahkan padahal bisa buat main game lain lancar rusak gamenya juga haram nulis sahabat islam bahkan di sensor,positif,,,,,,
game nya sudah bagus tapi kurang dikit di bagian awal pembuka padahal jaringan lancar tapi tidak bisa masuk di lobby jika sudah di perbarui aku kasih bintang,negatif,,,,,,
lapor ada gangguan damage dari beberapa senjata bugnya dari jarak dekat damage bahkan sedikit sedangkan dari jarak jauh damage besar,negatif,,,,,,
sangat bagus aku sudah main dari nah aku tuh pernah di ajarin sama teman dan aku main gem ini tuh aku langsung ke tagihan sampai sekarang aku suka gem gratis fire terima kasih gem gratis fire,positif,,,,,,
minimal minta tolong dong minimal saya akan di rumah sudah mengunakan wifi tapi pada saat ingin login terdapat isu jaringan saya sudah laporan masalah jaringan namun tidak ada perubahan mohon di bantu ya minimal,positif,,,,,,
game nya taik kayak anj saya kalah mulu padahal sudah semaksimal mungkin buat menang eh di kalahin mulu dark sistem semua saya dapat teman mabar udahlah gangguan damage game jelek bit lagi jadi tidak pernah naik rank saya game anj,negatif,,,,,,
game nya jelek masa pangkat diamond ada plat nomor tim saya plat nomor semua sedang akan tim lawan jago semua jadi setiap mach gituu terus bikin kesel saya gendong terus semua terus patah leg padahal jaringan bagus handphone juga mendukung tidak kentang itu yang membuat handphone saya sekarang jadi retak karena saya banting karena itu mereka pemain old yang dahulu ada pensi game yang dahulu seru jadi tidak seru dan tidak menarik saya jadi tidak tertarik lagi maen ff jadi mau pensi pindah ke ml saja,positif,,,,,,
ini garena kenapa ya sekarang mau main ff tapi jaringan nya lambat mulu padahal jaringan dari sini nya lancar terus juga teman aku banyak yang mengalami padahal ff seru tapi tidak bisa di mainin jadi terpaksa pindah ke game sebelah kecewa sih asli tolong dong minimal di perbaikan,negatif,,,,,,
hola aku mau rating game inii ofc sudah bagus ya grafik nya oke banget banyak map yang bisa dimainkan bisa mabar juga jujur ya game ini banyak gangguan dan kesalahan yang mungkin cukup di handphone saya saja di handphone saya sudah unduh data lengkap banget tapi tidak bisa lihat pakaian orang kalau main baru rank apapun itu lah terus tidak bisa lihat senjata juga sedih banget bagaimana ya minimal caranya mau lihat skin orang yang di pakai ?? apa harus ganti handphone minimal tolong dong minimal,negatif,,,,,,
ini tolong garena dibenerin yang afk tolong dikurangi dan ada lagi satu gangguan di baru lagi bila dimainkan satu squad kok datangnya cuman bukannya satu squad ini geme sudah bagus ya sudah bagus tapi dibenerin ya gangguan ya developer segitu saja terima kasih maaf kalau ada yang perkataan saya yang mengganggu aku minta maaf sekian terima kasih,negatif,,,,,,
buat garenaa tlong kalau orang lagi kesusahan jaringan bukan karena habis kuota memang sinyalnya lambat tolong kerja sama nya buat jangan afk saya juga niat main bukan saya tidak niat main ini saya niat main gra sinyal seperti anjingg sayaa di bilang afk padahal nggaa dan honor score saya berkurang tolong perbaikan dan tolong juga perbaikan gangguan damage itu itu juga sudah sangat meresahkan player lain kalau orang lagi afk atau memang sinyalnya kurang bagus jangan diturunkan honor score nyaa pahamm,negatif,,,,,,
eh ff tolong lah ya ini game sudah bagus tetapi jangan lah ya semakin apdeit semakin jelek sih meski kalouu saya main masak ngelek padahal wifi saya bagus lo dan tolong lah ff semakin apdeit jangan jelek lah oky dan saya bangga sama garena tolong garena agak di perbarui lagi ya terima kasih,negatif,,,,,,
bg garena tolong dong gratis firenya buat diperbarui biar tidak ngeleag padahal sinyal wifi saya full lo tetapi sinyal game nya kok jadi kuning merah kuning merah begitu kalau bisa buat gamenya jadi offline deh itu permintaan teman saya kevin dia minta ff nya jadi offline,negatif,,,,,,
gem play nya seru banyak skin senjata nya keren apalagi di tambah skin banyak mode yang bisa dipilih seru banget,negatif,,,,,,
pertama kali top up tidak hoki yang pas nyepin dapat nya ampas semua kayak gamenya ampas itu maksudnya aku kasih bintang satu tidak kayak game moba lain pertama kali top up dikasih keberuntungan kalau ini ya ampas pelit lagi malas saya main ff lagi pantesan orang yang main ff pada pindah game wkwkwk,negatif,,,,,,
game jelek skil karakter tidak masuk akal sekalian saja skil nya yang bisa tembus tembok aouto kepala sama tidak bisa di tembak kebal buatin skil karakter yang seperti begitu saja sekalian sudah saya pensi bosen tidak makin kesini makin tidak masuk akal skil nya up sepi,negatif,,,,,,
sinyal tolong di perbaikan ini game dari dahulu sinyal nya jangan sekin teru yang dibagusin jaringannya mana kok makin lama makin sulit sinyal,positif,,,,,,
game ini sangat bagus tapi akun saya yang sudah saya urus tahun sudah hilang dan saya main game ini dari awal lagi deh tapi tidak apa apa saya terima itu pasti cobaan nya kann terima kasih sudah nemenin tahun ini garena lupp banyak deh pokok nya,positif,,,,,,
untuk gareba sunguh ini sangat menyebalkan bagi saya karena saya main pelayanan pelanggan tidak pernah menang itu karena musuhnya sama teamku itu tidak sepadan mohon ubtuk garena semoga updite nanti sudah semakin membaik,netral,,,,,,
lumayan tapi diperbarui yang sekarang agak jelek karena ada gangguan layar kuning dan juga gangguan gambar bergetar,negatif,,,,,,
game nya mantap walau kadang suka agak lagi dikit dan ada gangguan yang ada di pelayanan pelanggan setelah update ada kayak dinding berwarna oren dan lompat sendiri tetapi hanya di pelayanan pelanggan rank sedang akan untuk baru hanya saya temukan gangguan yaitu bonti saya tidak bisa di ambil tapi game ini sudah lumayan bagus untuk setatistik ff biasa saya kasih bintang ya,negatif,,,,,,
geme nya bagus tapi tolong kita bisa lihat skin pas main kalau gratis fire mex bisa lihat skin pas main tapi kalau di ff biasa kenapa tidak bisa lihat tolong garena,positif,,,,,,
gamenya lumayan tapi tolong garena atau developernya untuk perbaikan gangguan damage saya sering kena gangguan damage jadi sementara saya kasih bintang,negatif,,,,,,
woi garena minimal game lu di perbaikan masa saya main pelayanan pelanggan baru selalu dapat tim tidak seimbang dan tuh sering keluar dari game pasah perang dan juga kola spin pasti saya tidak dapat padahal dan keluar in banyak direct message terus sinyal saya selalu patah pasah main padahal sinyal saya bagus dan tuh suka jj pula pasah saya nembak layar handphone saya bahkan dapat jj dan minimal perbaikan lah garena biar nyaman orang yang mau main sudah tuh bandel old di keluar in lagi lebih murah percuma nabung buat top up kola di murahin sekarang,negatif,,,,,,
kenapa damage senjata jadi gacha semua ya kok bisa kita pakai senjata yang sama persis yang dipakai musuh tapi kok bahkan damage yang dihasilkan lebih sakit yang dipakai musuh sering sekali saat main mode pelayanan pelanggan kejadian seperti ini terjadi apalagi damage semoga sudah tidak ada rasanya di diperbarui ini padahal ini senjata jarak dekat dps yang bisa menjadi peluang untuk counter senjata burst dan lagi garena membuat sg semakin op apalagi balance senjata semakin buruk setiap diperbarui baru,negatif,,,,,,
garena tolong lah sudah susah bahkan ngeleg padahal sudah knock grafik smooth musuh nya pakai horizonal pas sudah tidak ngeleg nya pas musuh boyoh jadi sudah ah blog,negatif,,,,,,
ini kenapa isu masalah jaringan terus ya tidak bisa masuk game nya mohon di perbaikan masa pakai data seluler bisa masuk dan wifi tidak bisa masuk,negatif,,,,,,
gamenya sih sudah bagus tapi yang bikin kesel itu pas lagi dalam game jaringan nya tiba lambat padahal jaringan wifi sangat bagus tolonglah perbaikan gangguan nya,negatif,,,,,,
tolong lah garena kasih lah musuh yang sama masa main pelayanan pelanggan ranked squad solo tapi bahkan di kasih musuh yang main squad perbaikilah tolong garena itulah alasan orang pada pensi karena musuhnya tidak sama rata dan itu membuat emosi dan turun rank,negatif,,,,,,
ini baru namanya game tidak kayak yang sebelah apaya namanya lupa mobile haram kaliya sudah lah yang penting ini game bagus banget ram masih bisa terus grafik juga oke mantap banget game ini pokoknya tidak kayak ml,negatif,,,,,,
game nya sudah bagus tapi kalau mau login itu kg bisa padahal paketan baru beli tolong di kembangkan lagi game nya biar lebih seru terima kasih,positif,,,,,,
akuu suka banget main game ff ini tapi tolong gangguan nya di kurangin padahal jaringan bagus pakai wifi atau kouta sama saja jadi tolong gangguan nya di perbaikan tapi aku suka kok sama game ini,positif,,,,,,
game yang tidak bisa dimainin memang banyak gangguan masa saya coba login tapi tidak bisa ah saya hapus saja saya pensi salam sari gubpeleyer siyu,negatif,,,,,,
game nya seru sekali aku sangatlah menghargai game ini dengan sungguh dan aku juga senang karena bisa multiplayer jadi aku bisa main bersama temanku dan lain lain serta aku juga berterima kasih kepada garena untuk game nya yang seru dan menyenangkan terima kasih garena,positif,,,,,,
setiap saya main ini game semuanya tidak terdonglot lagi saya sudah berkali kali donglot pas login lagi semuanya tidak terdonglot sampai kouta saya habis tolong di perbaiki lagi,positif,,,,,,
grafiknya sama ios dibedain banget dari segi texture ketajaman dan kualitas gambar misal kayak di map bermuda itu beda jauh banget tolong nanti samain saja grafiknya biar lebih nyaman dan tidak jeblok banget sama ios,negatif,,,,,,
kenapa pada saat saya login ff selalu tidak bisa dan selalu ada bacaan anda gagal terhubung ke server padahal sinyal saya bagus tolong cepat selesaikan masalah ini dan tolong lebih di tindak lanjut lagi,negatif,,,,,,
garena ini game nya sudah bagus tapi tolong saat ada musuh kenapa ngalg padahal sinyalnya bagus saja tapi saya rescept dengan game ini saya kasih bintang dan tetap di kembangkan game ini,positif,,,,,,
pantes banyak yang bilang game jelek orang tiap minggu top up rajin kadang ada event bagus selalu top up orang yang top up tiap hari masa dikasih item ampas terus tiap event yang paling parah saya selalu dapat spin royal diakhir terus game ajing mentang rajin top up bahkan dimanfaatin saya spin royal disuruh spin sampai habis terus menyesal saya main game ini buang uang cuma buat game tidak bermutu sudah stelan pengaturannya tidak praktis masih banyak kekurangannya game ini fokus cuma diskin saja kenyamanan pemain tidak ada,negatif,,,,,,
garena memang bagus katanya game jelek tapi bagus coba setting ke tampilan terus kalau jempol di grafik misalnya di ultra di standar atau di smooth terus fps kalian high akan pangsung tidak akan patah,negatif,,,,,,
game merugikan orang jaringan buq cheat dan lain lain itu merugikan player lain orang top up ber juta ratusan tapi masih ada saja yang begini capek main tapi sudah terlanjur top up banyak lagi,negatif,,,,,,
ff yang sekarang sih mnurutku tidak seru banget tidak kya dulu jaringan saya pdhal bagus tetapi disitu event nya tidak seru bkin eneg yang ada tolong di perbaikan ya,positif,,,,,,
gemnya bagus tapi banyak kekurangan kadang layarnya tiba kuning kadang rikol sendiri gemnya juga berat padahal gem jelek tapi berat bag demek ya juga sering jadi tolong ya gemnya di ringanin biar handphone kentang bisa main sama bagnya di perbaikan sama misteri sop diamon ungunya di sering ya,negatif,,,,,,
tolong garena ini ff saya kenapa tiba karakter saya seperti belum ke dowload semua habis itu karakter tidak bisa didownload sama baju saya juga tidak bisa di unduh habis itu sama pet tidak bisa juga didownload tolong yang ngeliat ini manager apa garena tolong seperti saya bakal hapus ff kalau begini lagi tolong tolong banget garena tolong banget,positif,,,,,,
saya baru saja naik master bntg di pelayanan pelanggan mode tapi saya turun ke bntg namun saya sangat gembira karena saya stress dengan game ini saya tidak setuju game ini diperbarui atau di besar akan mb nya karena ini game sangat buri bikin saya streess,positif,,,,,,
pas main pengaturannya tidak bisa dibukat tolong hapus gangguan ini saya main di game sebelah aman saja tapi di sini kok bahkan begini,negatif,,,,,,
di perbaikan lagi di saat para pemain nya sudah mulai berkembang bahkan ada saja masalah contoh nya tidak bisa login ngelek padahal jaringan bagus dan lain lain ini lah yang membuat para pemain nya nanti pensi padahal yang kalian ingin akan supaya ramai tapi bahkan sebaliknya,positif,,,,,,
kecewa berat sih sama game nya jaringan di lobi kencang tapi giliran main baru pelayanan pelanggan sudah hilang total jaringan padahal di aplikasi lain jaringan bagus ml coc pubg juga bagus sudah pakai tampilan semut pun tidak bisa lancar kecewa aku,positif,,,,,,
musuhnya banyak botnya tapi kita dibikin lebih bot lagi sama garena di ping buat loting saja susah apalagi war ketemu musuh sama disuruh udahan coba pihak developer garena saya harus pakai jaringan operator apa biar nyaman bermain dari operator telkomsel axiata indosat saya pakai tapi tetap saja jaringan tidak pernah stabil giliran saya main game yang lain enjoy saja walaupun diposisi lagi hujan juga tolong dong pihak garena di perbaiki untuk jaringannya biar support dan nyaman bermain,positif,,,,,,
garena kenapa sih kalau ff di diperbarui makin bu coba barang senjata dan map tempat lainnya seperti peak old cg dan sesuatu yang ada di ff lama coba bisa di kembalikan banyak kenangan di ff yang lama pasti jika semua di kembalikan seperti ff yang lama semua pemain ff senang,positif,,,,,,
assalamualaikum developer saya kasih bintang dahulu ya karena apa karena hal yang membuat saya marah ketika main ff yaitu honor score tapi tidak ada masalah untuk honor score cuman saya cuma menyarankan kalau fitur honor score harus di hapus karena saya tidak mau lagi kalau kita tidak bisa main pelayanan pelanggan ranked ataupun ranked ya karena itunya menurun jadi apa fungsinya honor score itu jadi saya minta diperbarui selanjutnya fitur honor score nya harus di hapus biar tidak membebankan player lain,negatif,,,,,,
untuk garena kenapa ya setiap saya mau ganti mode tiba layar handphone saya tidak berfungsi terus kayak ada tanda loading memutar tidak jelas tolong perbaikan,negatif,,,,,,
tidak jelas banget saya sering kalah kalau main karena jaringannya tiba lagi padahal pas sebelum saya ketemu musuh jaringannya bagus kayak semacam di sengajain begitu di lagi in pas ada musuh tidak cuman sekali tapi sudah berkali kali,negatif,,,,,,
game nya sangat bagus lebih bagusnya kalau ada opm gratis dan di event dan gratis dan ada misi nya dan permane tolong tolong ff besok kalau ramadan tolong ada sg ramadan kalau misinya gampang saja aku sayang ff,positif,,,,,,
game nya lumayan seru tapi saya pas top up direct message kok tidak masuk sama ngelapor masalah nya yang susah makanya saya beri nilai bintang apa bila direct message saya di kembalikan maka saya akan beri bintang sekian terima kasih semoga depolopor lebih semangat,positif,,,,,,
tidak respect sama sistem pembagian tim di pelayanan pelanggan rank perbedaan level akun dan ranknya beda jauhh pada saat main solo buruk sekali sistem garena ini kebanyakan memberikan event tapi buruk dalam memberikan tim pelayanan pelanggan sampahh,negatif,,,,,,
game ff ini semakin lama semakin aneh dan sudah tidak seru lagi garena tolong masalah nya ada di karakter kalau ada karakter baru jangan terlalu op atau banyak efek biar makin gregetan mainnya semoga saja karakter baru jangan yang op lah biar mainnya makin seru dan gregetan,positif,,,,,,
halo garena saya ingin melaporkan bahwa ada gangguan di bagian vault dan skin senjata padahal saya sudah unduh sampai full tapi sebagai skin vault dan senjata nya tidak ada kelihatan atau kosong dan gosong semoga pihak developer freefrie memperbaiki gangguan nya,negatif,,,,,,
kebanyakan gangguan barusan saya mau login tapi tidak bisa jaringan sedang sibuk mulu padahal wifi nya full bagus buka aplikasi yang lain lancar tapi pas login tidak bisa tolong minimal jangan kebanyakan di diperbarui tapi gangguan masih tidak di benerin,negatif,,,,,,
mending ini minimal saya kasih karena saya suka sama game nya tapi minimal kenapa saya bisa kasih karena garena ini tidak jelas saya main tidak pakai cheat tidak pakai apa tiba kena blacklist maksudnya apa begitu saya main biasa saja tiba kena blacklist setelah saya tanya global ternyata tidak hanya saya yang kena tanpa sebab banyak player lainnya yang kena juga tolong lepas blacklist kami semua kami juga ingin push rank,negatif,,,,,,
teruntuk gerena tolong perbaikan jaringan di dalam game jika memang tidak bisa memberikan permainan yang baik dan jujur terhadap para player lebih baik tutup game ini dan jangan membuat para player bermain dengan emosi akibat jaringan yang terlalu buruk jangan cuma ingin mendapat keuntungan dari player sedang keluhan jaringan semakin hari semakin buruk,positif,,,,,,
epep ini bagus tapi tolong aku mau top up pakai air drop tapi kok tidak bisa ya aku mau top up rp aku beli pulsa tetap tidak bisa bagaimana nih jadinya,negatif,,,,,,
game nya bagus tidak jelek sangat menyenangkan dan karakter keren tapi menyusahkan sedikit bagi aku candaa assalammualaikum terima kasih ya,negatif,,,,,,
garena tolong perbaikan ini di waktu aku belum login jaringanya lancar saja tapi waktu aku login entah kenapa tidak ada angin tidak ada hujan karakter yang aku pakai waktu itu akan alok entah kenapa berubah menjadi andrew lalu aku masuk ke tempat karakter di situ aku di suruh unduh karakternya tapi tidak bisa di unduh itu kendala yang pertama yang kedua treningnya entah kenapa saya baru masuk akan ke trening baru kill bahkan ada waktunya padahal dahulu tidak punya waktu dan itulah yang membuat saya pensi,negatif,,,,,,
tidak rekomendasi sih ini gem udahlah suka ngelang sendiri sedangkan di ml tidak pernah begitu sudah begitu banyak kali gangguan habis diperbarui contohnya karakter yang getar sendiri kabut oreng sama nembus tembok sudah begitu asal akan masuk gem loading nya luamaa baru pas habis loading banyak kali masalah yang error sama jaringan tidak stabil disuruh laporkan bahkan makin tidak stabil tapi di gem lain aman saja tidak ada jaringan leg mohon di perbaiki garena,negatif,,,,,,
setau aku dahulu incubator adalah spinan yang paling mahal dan nge hargain perjuangan misalnya ngumpulin tiket sampai dapat blue print atau terus batu mata kucingnya atau juga lah ini tiket bahkan sampai sering tidak dapat apa cuman box tidak jelas isinya barang trial semua terus penukaran hadiahnya pun tidak semahal sekarang dahulu yang paling bawah batu blue print lah sekarang sudah dapatin blueprint susah penukarannya pun mahal,negatif,,,,,,
game nya bagus grafik juga bagus item gratis juga banyak tapi ada satu aku baru main rank aku masih bronze pas aku main baru ranked kok aku ketemu tier diamond heroic master padahal rank aku masih beronze,positif,,,,,,
dev nya tolong di perbaiki kalau pas aku push pelayanan pelanggan mesti musuhnya itu pro tidak tahu kenapa sekarang banyak dark sistem gamenya di offline saja jangan di daring karena ngehabisin hampir gb sehari banyak gangguan misalnya tiba sinyalnya itu padahal baru beli internet jadi saya habis total rp sebulanya sekian dari saya,negatif,,,,,,
game nya sudah jelek dan rajin nge bug terus terutama di bagian tombol tembak yang sudah di tekan tapi tidak keluar pelu dan di bagian awm ada gangguan yang mana musuh sudah di tembak kali tidak mati padahal damage,negatif,,,,,,
game nya sih bagus grafik nya juga lumayan tapi kenapa minimal kok kode reddem ff saya kok error ya minimal kenapa ya error nya tu pas aku mau nukerin kode reddem ff saya sama mi keremes nya loading nya itu kok cuman sampai setengah,negatif,,,,,,
tolong lh pihak developernya gangguan jaringan di benerin semenjak diperbarui mau main susah selalu kena gangguan jaringan padahal jaringan sudah bagus bikin emosi kalau main kena gangguan jaringan,negatif,,,,,,
tolong buat pihak garena gratis fire game ini lumayan seru tapi saat main pelayanan pelanggan rangked tim kita itu main nya bot kalau musuh jago jadinya kalah terus tolong kasih lawan yang seimbang kalau kayak begini terus aku hapus ff sudah game mati kikir lagi,netral,,,,,,
game ff adalah game penembak paling populer dan banyak yang memainkannya tapi kenapa sekarang ff ada starting seperti mengulang unduh sekarang akun saya sudah hilang karena starting yang sangat lama mohon di perbaiki karena saya sangat menyukai game ini,positif,,,,,,
bagus seru dan menarik menurut saya cocok untuk di beri bintang soalnya bagus gameplay nya oke dan grafik nya hd semoga semaking berkembang ya ff,positif,,,,,,
gamenya bagus dan keren juga enak kalau lagi tidak mood ngapa buat apa ya main ff lah soluli penghilang mood kayak gabut main ff merajuk main ff tuh seru sekali kalau lagi mabar kadang ngelek ada juga di troll cheater kadang pas tim saya itu ngeselin banget sampai saya report tapi yang honor score nya saya yang kena kadang minus ya gitulah,negatif,,,,,,
garena tolong kalau ada musuh di manapun matchnya pasti sinyalnya lambat karena hal itu ff lah yang membuat hpku retak karena sering saya banting saking emosinya padahal grafiknya sudah yang smooth tapi masih lambat,negatif,,,,,,
terkait permasalahan kontrol di ff sekarang ketika ganti grafik settingan custom hud sering berubah sendiri sangat di sesalkan player mohon feedback dari pihak gratis fire,negatif,,,,,,
gamenya sudah bagus cuma skin apa saja seringnya pakai diamonds kasihan yang tidak punya diamonds aku tidak kasih bintang lima karena di dunia ini tidak ada yang sempurna terima kasih,positif,,,,,,
makin kesini makin ngeselin masa kita main rank tidak menang musuh yang menang terus makin tidak ngotak jadi tolong di perbaiki,negatif,,,,,,
saya beri bintang karena disaat awal main lancar terus tiba pertengahan match jaringan naik menjadi jadi tolong perbaikan lagi kualitas jaringan nya teman saya main juga sering mau naikin rank jadinya kehalang oleh jaringan,positif,,,,,,
game yang sangat ngeleg dan tidak masuk akal padahal sinyal bagus tapi masih ngeleg padahal game jelek maksa kualitas hd dasar jelek bit tidak ada pintu,negatif,,,,,,
jaringan nya tidak jelas dikit lambat kalau mau saya banding in sama game lain mah wifi paket data saya aman saja lah di game ini dikit lambat dikit delay apalah,negatif,,,,,,
seru gemeya dan tolong aku suka engelek pas main pelayanan pelanggan dan suka ada cahaya kuning ngehalangi layar jadi tolong perbaikan aku sering turun keredit skaor dan aku tidak bisa main pelayanan pelanggan lagi ini tolong perbaikan dan jangan ada baju terbuka ini membuat allah marah seperti kita dan jangan buat glool betuk ayat al qur an tolong jangan di bentuk glool yang aneh dan juga jangan bikin baju yang seksi allah tidak suka mamerin aurat itu dosa besar banget tapi seru geme ya aku kasih bintang deh soalnya bagus,positif,,,,,,
mohon maaf saya kasih bintang karena pas saya main clas sekuad random musuh nya pada jago sedangkan tim saya pada enggak jago dan satu lagi jaringan saya bagus tapi aneh jadi saya mohon di perbaikan,positif,,,,,,
game jadi bosen event kurang menarik serba trial balikan efef seperti dahulu seruu banyak yang main sekarang kayam game angker teman tidak ada satulun yang daring aduh sekarang pada pindah ml event seru tidak pelit kayk ff tolong ya,negatif,,,,,,
game nya ngeleg banget makin lama makin ngeleg padahal wifi saya kecepatan nya tinggi bagus bahkan sampai saya pasang otg dan antena tv biar tidak lambat tapi sama saja tahu tidak saya main costom lalu karena geleng saya terkeluar dari game terus saya dapat laporan bahwa saya afk akan tolol ff nya ngeleg saya kena lapor,negatif,,,,,,
game ini bagus tapi ada sedikit yang jelek map elite pass di sudah tidak ada map nya kurang lengkap tapi grafik nya bagus settingnya juga kurang pemain nya saja sering pamer,negatif,,,,,,
