ulasan_clean,sentimen
game burik makin update makin burik saya main sudah kil banyak masih minus tu bagaimana kil minus padahal aku mainya sudah agak lamaan dikit masih minus game burik kalau epep di kembalikan seperti dahulu saya hapus postingan ini,-1
garena ngelawan makin di diperbarui bahkan makin lambat dan patah,-1
game nya bagus enak cuman tapi suka tiba ngestuck sendiri tiba patah tolong hapus fitur itu minimal tidak enak buat maen,-1
gacorkang game nya menarik handphone saya ram loh dari tahun alhasil patah di diperbarui bukan nya makin bagus tapi bag tidak pernah hilang seperti bug damage bug jaringan pengarahan senjata otomatis lock nya nembak angin mulu coyy saran saya nih ya kalau diperbarui itu fitur nya di bagusin lah kocak bug di hilangin game ini banyak di gemari jika admin nya lebih mengoptimalkan para dark sistem,-1
diperbarui yang benar garenaa masa setelah diperbarui jadi sering nyetakk nyetak tidak jelas mana lagi warr lagi ah tidak jelas banget coo,1
epep makin ksini makin ngawurr makin diperbarui makin lambat handphone saya tolong lah kak jangan di diperbarui mulu kasihan kami yang handphone ya kentang kadang iri lihat teman handphone ya masih support main epep tidak patah,1
game burik bodoh pas diperbarui bahkan suka stuck lagi enak perang vs musuh pda sekarat eh bahkan stuckk anjj,-1
mohon kepada pihak garena ini kenapa ya sering terjadi kepada saya yaitu masalah di ping atau jaringan padahal wifi saya lancar di pakai sosmed manteng banget tapi kenapa ya kalau di pakai fre fire jadi lambat banget sinyal nya sudah pakai data atau kuota sama saja padahal kuota saya baru di isi,1
ff burik suka nglek tidak keruan di lobby bagus sinyal giliran di pesawat tiba nglek lama banget misanya kita login ulang menyambung ulang tiba sudah mati tapi sinyal bagus terus saya nonton sampai akhir giliran main rusak sinyal gareana mohon di perbaikan,-1
kenapa habis selesai di diperbarui bahkan jadi nge lagi atau bug begitu yahh malahan bug nya parah banget lagihh dari segi semuanyah lagih kasih bintng kalau sudah bagus ntik di tambah in tolong diperbaikii ganggu banget soalnyahh,-1
game ini makin tidak seru sama sekali semenjak diperbarui kemarin musuh susah di lihat tidak tahu darimana datang nya memang ini game makin tidak seru malas saya main,-1
aneh epep setelah diperbarui makin burik ada banyak buk tadi ngprem game lolot tidak jelas,1
game nya sekarang banyak bug sinyal,1
tolonglah ff pas mau login keluar mulu tolong di perbaikan lah tolong makin apdet makin tidak seru tolong di perbaiki ya nih saya kasih bintang,1
semenjak diperbarui jadi tidak jelas suka tiba ngestuck ganggu banget apalagi pas lagi war,-1
untuk garena mohon di perbaikan lagi untuk masalah koneksi saya lihat dari beberapa diperbarui terakhir koneksi makin buruk entah kenapa tiba ping nya dari naik ke kadang an apalagi kalau sedang war pasti sinyal langsung naik berbeda ketika sedang tidak ada musuh ataupun sedang mati pasti sinyal nya normal,-1
suka sih tapi ada keselnya karena sering downlod ulang sendiri buat developer jangan banyak bug dong dan ff yang sekarang makin banyak bug dameg bug karakter pokoknya komplet bugnya tolong dong kurangi bugnya dan lagnya,-1
pas diperbarui sudah tidak bisa dimainin gelap yaudah hapus saja,-1
game nya memang bagus tapi sekarang banyak bag ngeleg bag tembus glowal bag karakter tiba stop dan lain tolong ya untuk di perbaiki waktu ff belum diperbarui tidak ada bag kayak begitu tapi kok sekarang muncul bag nya itu sangat meresahkan tolong di perbaikan sekian itu saja informasi nya,-1
tolong lah garena setelah diperbarui kenapa ya banyak iklannya apa handphone saya saja yang banyak iklan dan tolong hapus bug damage nya saya sudah headshot kali tidak mati mohon,-1
minimal tolong hapusin bug ngestak pas main ke ganggu banget sumpah jadi malas main tolong minimal ilangin bug ngestak nya saya setiap main banting handphone terus gara ngestak pas main tolong ya minimal ilangin bug ngestak secepatnya terima kasih,-1
kakak bisa tidak bagi diamond gratis bagi player baru dan tolong perbaikan lagi dong supaya kalau saya bicara aku mau tidak di sensor sekian terima kasih,1
game apa ada makin di diperbarui makin rusak,1
tolong lah garena pas diperbarui sering kali banyak jeda aku lagi war tiba kayak ke jeda begitu padahal sinyal bagus sama handphone tidak kentang amat,-1
game nya siap di diperbarui kebanyakan nge bug ketika jumpa sama musuh tolonglah di perbaikin,-1
diperbarui baru ini kok sering bug dan ngefram sih tolong kurangi efek yang berkelebihan dan warna yang sudah mulai norak,1
makin diperbarui makin bug nya kadang kejeda saat dalam game saat perang kepada pihak garena tolong di urus bug nya,1
game nya kadang ngestak padahal handphone bagus sinyal mendukung,1
grara gara diperbarui dan banyak setingan kontrolnya jadi beda dan juga ff tidak seasik dulu,-1
gemes ya sangat bagus untuk di mayin akan,-1
ter untuk mimin garena mohon bantuannya untuk fix bug doble touch sama suka nge stuk sendiri tolong di fix ya mimin untuk diperbarui nya bagus minimal cuma minus bug itu saja bagi kami itu merugikan,-1
ff gamenya seru tapi saya kalau habis top up langsung spin diluck royale itu dikasih hoki dong garena saya tidak pernah hoki kalau spin sesuatu begitu,1
minimal setelah diperbarui ff handphone saya kok patah minimal ini karena game nya apa handphone saya yang kentang,-1
masa gara sinyal diblacklis tidak bisa main rank dan mabar,-1
permainan nya seru bagus apalagi barru diperbarui,-1
diperbarui sekarang suka ngeframe tolong dibenerin,1
diperbarui sekarang ini kayak anjink winterlands di sudah keluar kali diperbarui sekarang ini tidak jelas ff burik,-1
hai garena tolong kembalikan peak dahulu sama training dahulu sama social dahulu sama battle royal aku ingin banget seperti dahulu sekarang ganti samaa aku sudah beri nilai,1
tolong sumpah minimal epep sekarang sudah sering nge stak epep sering patah ngeleg epep apdet tnggal desember malah makin burik nya minta amupun yang dluny jgo jadi bot tolong perbaikan seperti even paradox,-1
gamenya bagus sekali dan bisa dimainkan di handphone kentang,-1
jang juragan dowlod gm ini nanti kalian yesel handphone saya rm saja patah memang gem burik sudah tidak kayak dahulu lagi,-1
aku suka grafiknya bagus banget minimal tapi aku paling tidak suka saya loading nya lama sudah begitu suka nge lagi tapi tidak papa aku suka sama gratis fire game ala anak kecil old aku keinget sama jaman dahulu saat masa aku kecil ngeliat game gratis fire di play story,1
gem nya lumayan dan grafik nya juga sudah bagus tetapi kenapa nya kalau lagi main terus ketemu musuh kita nya kayak ngebleng tolong dong developer bantu,-1
saya gem ini bagus banget ivent nya bagus dan menarik setiap bulan akan berganti dan ada skin baru bagea banget ml kalah,-1
tolong di perbaikan lagi garena sebelum di apdet tidak ada masalah setelah di apdet jadi tersendat tolong di perbaikan lagi,1
alat untuk menyisipkan dan menampilkan grafik dalam dokumen dapat membantu menggambarkan data numerik seperti perbandingan dan tren sehingga lebih mudah bagi pembaca untuk memahaminya beberapa jenis grafik yang dapat dibuat di microsoft word antara lain column line pie bar dan sebagainya untuk membuat grafik atau bagan pada dokumen word anda dapat menggunakan menu…,-1
semua pelayer sudah pensi karena semua bandel old sudah dikeluarkan lagi dan ff selalu diperbarui dan diperbarui nya bikin ff makin burik bukan makin bagus dan membuat semua yuduber jadi kembali main ff,-1
akusuka gratis fire tapi adayang kurang sg batu tidak dikeluarkan tolong keluarkan dan sg geratis,-1
salut sih sama garena cuman kalau boleh penyelidikan akun itu lebih mendalam agar bisa tahu yang sebenarnya jadi kayak ada orang yang difitnah nge cheat tidak keban kusaranin tidak setim sama orang yang suka troll itu dinaikin ke minggu kalau bisa di social island tiarap dihapus di social island jadi tidak banyak player yang menggunakan tiarap untuk hal yang sehingga sekarang banyak anak kecil seperti itu sama saat clash squad kebanyakan rank tidak seimbang jadi disarankan untuk seimbang manusia,-1
setelah diperbarui game nya patah berat sangat di handphone ram dahulu tidak berat di handphone ram sama bug sinyal dan bug aim,-1
gamenya bagus bangettapi kasih hoki dong aku kalau spin sg lumut semoga,-1
geme jelek banget ngabisin kuato sama bikin kesel sama kayak geme sebelah awalnya coba karena katanya geme nya bagus padahal tidak,-1
gamenya lumayan bagus tapi sering ngebak,-1
bagus diperbarui nya kalau bisa kecilin dikit mb nya,-1
gem ini sangat menyenangkan dan juga mengisi waktu kosong,-1
garena tolong tidak usah dibiarkan merajalela tu bug soal nya meresahkan akan,-1
gratis fire nya enak tapi ada yang kurang yaitu karakter primis dan naula tolong garena keluarkan karakter itu,1
kok lagi main tiba patah minimal dan lagi padahal sinyalnya bagus bukanya setelah diperbarui bagus bahkan kebanyakan bug gmanah sih minimal sementara saya kasih bintang dulu kalau sudah dibenerin baru saya kasih bintang kalau bisa kami player epep se indonesia mengeluh karena adanyabug tolong di perbaiki agar kami tidak pensi berjamaah sekian terima kasih,-1
game nya sangat bagus grafik nya bagus tetapi ada yang kurang tolong lah event yang pernah di keluarkan jangan di keluarkan lagi bosen kami semua yang main ff karena event nya itu saja jadi tolong lah itu event nya garena,-1
kenapa ff nge stuck sesudah diperbarui garena tolong perbaikan,1
setelah diperbarui bukan nya nambah bagus bahkan jadi patah ngestuk padahal handphone snapdragon main ml rata kanan saja masih bisa tidak patah lah ini smooth bahkan patah by the way bukan saya saja yang ngerasain setelah diperbarui winterland bahkan jadi seperti rusak begitu ini epep padahal wifi loh wkwkwkk banyak in tuh event tapi bug tidak di benerin,-1
akhir ini saya sudah pensi setengah tahun dan combek lagi katanya gratis fire diperbarui winterland dan benaran saya juga sih di suruh combek sama teman saya dan semua teman saya comeback main ff,-1
tambah tidak cukup ruang penyimpanan kita habis ini berhenti saja mainnya mending main ml taik sudah di diperbarui bahkan tunggu waktu biar service selesai benar taik di hapus saja games ini selama lamanya mohon di perbaiki jaringan ya banyak bugnya makin di diperbarui makin aneh yang terjadi makanya banyak yang pensi,-1
ff sangat bagus untuk dimainkan itu karena aku kasih bintang karena aku suka geem ff meskipun sinyal nya kurang aku tidak papa karena ff main kesukaan aku,1
game ini sangat bagus bisa perang bisa mabar tidak kayak mobile,-1
bagus tapi kalau tanana bisa memengan benah sat melocat kalau tidak sampai bisa di rahit,-1
emm bagaimana ya game nya bagus tapi pas aku masuk login langsung keluar tidak tahu kenapa jadi untuk diperbarui ini semoga lebih baik lagi dan lebih bagus kualitas nya,1
game rusak padahal jaringan bagus masih merah jaringan nya,1
permainan nya mantap dan memuaskan sekali,1
tolong benar akan bug mau itu tidak jelas banget bikin kalah pas main,-1
apa lah garena masak sudah padet banyak bug dan makin tidak asyik ff sekarang sudah masang gelowal masih bisa kena demeg ayolah garena perbaikin lah game lu,1
setelah diperbarui tambah aneh nih game apalah itu seluncuran tidak jelas,-1
bagus banget sih game nya kalau sekarang sih bug sudah berkurang ya tapi sekarang oke lah ya walau pun masih ada tapi bagus kok apalagi tambahin mode game ultra tapi aku tidak tahu soalnya tiba dia mode game ultra sendiri sih pokok nya best banget sih,1
kayak asu setelah diperbarui banyak bug dan sangat merosak,-1
makin di diperbarui makin burik jujur event sekarang yang paling buruk,-1
sangat bagus dan menyenangkan dengan grafik hd tapi tolong di perbaikan soal bug,1
akun tiba ke baned tidak jelas banget padahal tidak nge cheat tidak pakai script juga tiba di ban padahal main biasa,1
gem bagus banget setelah diperbarui bakin baguus ada tempat seluncuran yng bikin susah warr aku wae malh naik seluncuran nyaa aa,-1
game nya seru menegangkan tapi asyik sih terus senang saja begitu bisa booyah,1
dengarkan lah keluhan player old turuti kemauan nya ff sekarang makin tidak enak banget,1
game dari grafik nya bagus sekarang ada peningkatan tapi tolong jaringan nya tiba ngeleg jadi,1
minimal tanggung jawab minimal rank saya turun karena double touch kenapa setelah diperbarui ada double touch,-1
tolong di benerkan ya garena kenapa kalau sudah kill tapi tetap turun tolong di benerkan ya garena kalau kayak begini aku tidak bisa master tolong di menarka,-1
game ini sangat bagus saya bisa melarih keratangkasan jari dan otak tetapi ada bug yang saya itu tidak suka terima kasih untuk game ff yang telah membuat saya senang untuk memainkannya bintang untuk game ff,1
kenapa setengah diperbarui jadi patah minimal biasa nya setiap main tidak pernah patah maupun stack tolong minimal di perbaikan lagi,-1
aku sangat menyukai ff kerana seru dan asyik tapi garen tolong kembalikan akun saya yang anji pre order,1
bagus banget grafik nya,-1
sudah berjalan bulan ini buwat login saja susaha ping tidak setabil berkali kali sudah di laporkan castemerserpis games ya tidak ada perubahan cuma ff yang para laq ya tidak ada perbaikan sama sekali sudah coba main gamas lain ya baik saja cuma di ff ini games paok makin lama makin berat buwat login saja susah kalau kayak begini terus pindah games saja,-1
ttolong fitur report teman musuh setelah game selesai itu benar di cek oleh sistem atau sistem draft pick dan banning di ubah lagi sistem nya biar para dark sistem anak kecil honor tidak bisa ngetroll lagi??,-1
keren banget minn ini diperbarui sekarang ditambah ada fitur unbind jadi akun lama aku balik juga tapi mohon ya minimal frame rate nya tolong di benarkan lagi aku sudah pilih frame rate yang tingg tidak ngaruh sama sekali minimal sudah dicoba main baru sepanjang main kebanyakan patah begitu padahal device saya masih baru dan baru tolong di perbaikan lagi minimal biar lancar main nya,-1
tiap diperbarui makin jelek mending gausa di perbarui biar tidak banya bug lagi pantesan game lu makin sepi makin lu diperbarui makin banya masalah yang lu timbulin,-1
pesan terbaru buat garena gratis fire tolong megicub juga di ganti jangan bandel gratisan semua saja di kasih masuk kasih masuk juga bandel baru jangan yang itu saja sekian terima kasih semoga di respons,1
seru banget banyak event bagus yang gratis,1
pp minimal tambah beratt suka ngestuckk dan tombol nya delaayy gituu lihat saja diktok banyak juga yang komplenn,1
game ini bagus bisa mabar lagi tetapi tidak bisa mabar sampai orang jadi kurang seru deh tapi tetap bagus kok game nya lebih di tingkat akan lagi ya terima kasih,1
kenapa ff sekarang sepi pemain karena gamenya sekarang semakin berat di mainkan gameplaynya sudah banyak perubahan inovasi baru yang terasa cukup aneh dan jauh dari tema battle royal harusnya skill aktif pada karakter tidak pernah ada game ini mulai hancur saat anda merilis karakter chrono ini game otomatis aim dengan banyak skin senjata yang over power akan sangat mudah menghabisi handphone itu sangat konyol dan pertempuran menjadi kurang menarik,1
setelah diperbarui makin drop fps,-1
bagus banget minimal bisa dapat teman dan aku sudah level main baru nya musuh nya jago semua agak susah sih tapi seru,-1
mengapa aku kasih bintang tiga kerana karakternya tidak bisa di unduh kok tidak bisa di unduh karakternya,1
tidak jelas habis diperbarui bahkan makin berat gaje,-1
woii garena kembalikan peak kayak dulu jangan bikin diperbarui aneh kayak begini lah garena tolong kah garena kembalikan peak yang dluu,-1
gerena anjg kenapa sih habis ubdate habis ganti senjata ke tangan kosong suka ninju sendiri padahal dahulu sebelum ubdate tidak begitu garena yatim bikin emosi saja kalau lagi maen pepeng ke tinju sendiri,-1
ini kenapa setelah diperbarui kebanyakan bug tiba jaringan jelek tolonglah garena balikin ke dahulu coo sekarang jujur saja jelek banget enga sebagus dahulu,-1
bagus up updatenya bisa seluncur dan lainnya pokok bagus deh,-1
bagus tapi pas saya buka harus unduh ulang seperti resume unduh katanya tolong pihak garena tidak mengulangi ini dan buat aku bisa ber main ff lagi atau aku bilang ff ini burik hhahahahahahahah,-1
pas diperbarui yang gratis fire salju pas mau login tidak bisa masuk bahkan tah ada apa lagi hemm susah,-1
ini game banyak bug seperti bug damege sama bug tembus dan sudah baikin gamenya minimal,1
tolong minimal balikin ff ke yang dahulu ini diperbarui bukan nya bikin makin semangat main tapi malah bikin orang tidak mood main ff lagi minimal orang banyak pensi minimal gara ff sekarang pokoknya saran dari aku balikin ff yang dahulu,-1
kenapa setelah diperbarui bahkan patah jadi berat padahal signalnya full kecewaa,-1
minimal tolong perbaikan kalau lagi main tiba suka ngeb freeze tolong perbaikan masalh ini tolong soalnya dari tadi suka nge freeze terus,1
game nya tidak seru lagi grafik nya jelek,-1
minimal kok diperbarui sekarang sering ngeframe padahal sudah di unduh ulang tolong dong developer perbaikan diperbarui kemarin lancar saja kok sekarang bahkan sering ngeframe padahal handphone saya ram,1
garentod garena ngentod game nya sakalinya diperbarui tidak jelas tolol game burik anjg game dongo yang diperbarui yapit anjg,-1
game gratis fire ini bagus banget kalian juga harus wajib unduh game gratis fire karena banyak event dan diskon dari mulai sg katana celana baju bandle topi dan yang lain pokoknya kalian wajib unduh game gratis fire ini tolong buruann downloadd,1
sangat bagus bagi saya tapi ada yang kurang ya maaf tapi tetap saya kasih bintang lima,-1
minimal tolong perbaik ff nya sering lagi dan patah terus sinyal nya bagus tapi kalau ada mus sinyal nya lagi,-1
diperbarui jelek alvaro masak sekarang granat ya dilempar jadi meledak jadi lalu aku main baru ranked kill bahkan dikasih pelit kali diperbarui itu yang benar lah tidak jelas diperbarui dahulu bagus sekarang makin tidak bagus,-1
kalau kasih iven yang jelas sama bug nya benar in saya main duo kil naik main sendiri kil naik tidak jelas banget lu garena,1
gem nya bagus tapi diperbarui sekarang ff sering ngestuck sendiri tolong di benerin ya,-1
makin diperbarui makin tidak jelas ini game burik penghabis paket data saja,1
kenapa game ini tambah hari tambah aneh saja making tidak jelas kalau bisa seperti kayak dahulu saja lebih seruh tidak aneh,-1
sinyal nya di benerin minimal saya sudah muak buat nonton youtube tiktok dan lain lain enak saja enggak lambat sinyal nya tapi pas main ff bahkan mulu,-1
minimal kenapa sesudah up terbaru ini makin jelek saja ini game gerakan slowmo seperti patah padahal jaringan,-1
coba di perbaiki lagi soalnyaa akuu jaringannya lancar tetapi tetap lambat terus menerus dann jadii kalahh terus plzz perbaikan lagi supaya lebih lancarr tapi ini sudahh bagus kok cuman kekurangannya itu kurang lancarr padahal jaringannya lancar,1
susah log in lewat facebook lewat akun google susah error mulu tidak masuk,-1
ngeelk banget banyak iklan tidak bisa main of,1
gamenya seru tapi kalau baru mulai turun di peak terus ngekil pas mati eh bahkan mines ranknya,-1
di diperbarui bukannya makin bagus bahkan makin kocag,-1
gem nya sudah bagus tapi kadang suka ngebak saya mohon untuk garena untuk di perbaiki ya,1
habis diperbarui jadi jelek patah bikin badmood main saja perbaikan dahulu lah garena aduh,-1
ambil saja tuh seluncuran nya muak saya mau war bahkan injek seluncurannya hapus saja tidak enak cok kembalikan peak old kami,-1
bug damage di urusin noh masih ada woi ngeselin banget anjir,-1
habis di diperbarui banyak bag jadi kesusahan main nya,-1
permainan nya bagus tapi saya sering mengalami lah padahal grafik sudah smot,-1
kemarin pas belum ufdet tidak susah cari senjata awm tapi pas sudah ufdate jadi susah begitu semua arsenal saya buka tidak ada awm tolong depelofer bikin dong boks kayak kemarin yang ada awm nyah ya mohon,-1
sudah bagus sih game nya cuman kurang sih developer nya tidak mau memberikan makan siang gratis sudah itu saja dulu sekarang,1
saya capek banget garena dengan bug yang tiba ngefriz tiba keluar itu sangat membuat saya tidak nyaman dan juga tolong itu di hapus seluncuran icenya ya garena,1
garena toloong tambahin mode offline tanpa data sekalipun,-1
seru tapi banyak bug diperbarui nya sangat bagus tapi musuh nya pada iseng pas main di bermuda tapi benar seruu banget,-1
aku sangat menyukai game ini sampaikan terima kasih saya kepada pemilik nya,1
tolong ini bug atau bagaimana kok saya main kok mandek tolong ini kalau bug di perbaikan,1
makin lama makin rusak ini gem setiap ada pembaruan dan perbaikan masih ada saja masa masalah halo developer atau garena perbaikan lah masalah yang ada dalam penilaian jangan perbaikan map sama efen doank yang di perbaikan masalah bug setelah diperbarui ini sering mengalami bug seperti patah dan jaringan tidak ada peningkatan yang bagus hanyalah perbaikan buruk je hanya itu saja,1
grafik dan lain lainnya baik saja tolong perbaikan jaringan untuk setabilkan supaya lancar gerakany saat lagi penembakan pada musuh karena disini jaringan data saya stabil sinyal pun kuat,1
minimal mana mobil baru nya kata nya kalau sudah diperbarui frefire ada mobil baru,-1
tolong lah garena fitur pemulihan akun tambahkan untuk khusus akun yang terkait facebook akun saya hanya terkait pakai akun facebook bind email belum sempat,1
bagus banget garena ini baik banget sih bundle crono kembali loh tapi untuk cwek pedahal kalau yang cwok aku senang banget lalu diperbarui ke ini bagus banget yang mau lihat akun saya annasllby,1
tolong perbaikan winterlands diperbarui saat ini bug team group error class squad sering terjadi macet beberapa detik semenjak diperbarui saat ini,-1
kok setiap main game ini saya selalu bersama drak sistem mulu jadi saya selalu kalah tolong jangan ada drak sistem,-1
setelah di diperbarui makin patah ini game jadi malas mau main tidak usah di diperbarui terus sudah garena,-1
game ini smakin lama semakin tidak enak di mainin suka patah semenjak di diperbarui burik,-1
kebanyakan maintenen bosen lah maintenen lagi maintenen lagi banyak gaya,-1
game nya sering lagi bikin orang sulit main,1
apalah garena jaringan bagus kok bahkan kuning merah bug damage pula bagaimana sih garena sudah diperbarui bahkan tambah banyak bug hadeh,-1
game nya banyak yng ngedok tidak ada kemampuan maen tanpa ngendok,1
gem ini luar biasa tapi ada masalah yaitu musuh nya susah,-1
habis diperbarui lagi terus pahal buka aplikasi lain lancar dan sebelum diperbarui tidak lagi tolong perbaikii,-1
ff itu pelit kita dikasih nya tim beban tapi malahan musuhnya op aneh,-1
geme bagu banget semogahh peak kembali supaya ff makin ramehh,1
gam burikk makin di diperbarui burikk headshot tidak bisa ada sluncurannya lagi tolol epep burikk garena ngentod ff burikk yang diperbarui ngantuk wkwkwkwk,-1
game nya bagus tapi kebanyakan diperbarui apa lagi kalau tidak ada kuota tidak bisa diperbarui sama main bareng terus semua item harus di downlod lagi akan kasian yang tidak punya kuota jadi bintang dahulu deh,-1
tidak jelas game ya makin kesini sudah tidak jelas dahulu seru banget pas masih ada kulgar sekarang sudah rusak dahulu masa jaya ya padahal peringkat di plestor sekarang eh garena sudah tidak jelas game buriq makin di apdet makin buriq,1
tolong unduh request karakter awakening nya di perbaikan karena tidak bisa di mencet,1
gem nya bagus tapi semakin uapdet semakin burik kalau main pelayanan pelanggan panggal kita diamon lawan kita master pain pasti ktemu teman tidak demeg tidak kil,-1
sangat bagus tapi terkadang frizze,1
semenjak diperbarui jadi tidak jelas ada seluncuran apa tahu sudah lah kalau loncatin untuk rel nya otomatis naik skateboard tidak jelas lah intinya,1
saya permainan handphone bibi saya mengalami hal yang saya tidak suka yaitu leg atau patah bisa tidak kecilin dikiit saja mb nya,-1
ngelek mulu sinyalnya walau wifinya lagi bagus,-1
tolong sekali lebih di perbaikan signalnya bahkan ngefreze dan patah hanya itu kritikan saya terima kasih,-1
gamenya sangat menyenangkan dan enak dimain akan,1
saya sangat kecewa kenapa sekarang bandel old pada dikeluarin garenaa padahal yang palyer oldnga sudah pada mau comeback semua dan saya sangat kecewa mohon saya tegaskan tidak ada yang bandel atau senjata old yang dikeluarkan oleh garena lagi kalau semisalnya masih dikeluarkan saya tidak akan mau main ff kembali mohon maaf kalau disini saya lancang,-1
game nya tolong benerin karena setiap saya mau nembak musuh handphone saya berhenti kadang pas login tidak bisa masuk ke loby lagi kadang tiba ngeleg jaringan nya padahal teman saya yang saya hotspot tidak ngeleg saya kasih bintang saja,1
garena tolong lah atasi bug ini suka ngestuck tiba ke arah sendiri cuman itu saja loh coba atasin sama coba diperbarui tu yang baguslah kembalikan peak dahulu ya aku akan support kalian garena aku cuman kasih tahu itu saja kok,1
ini game nya bagus banget tapi ada bug yang sudah masang glowal eh kena tembak terus knock gr itu aku jarang maenn gratis fire habis itu ada lagi ada yang ngelemparin granat aku sudah jauh sama gambar granatny sudah hilang di handphone saya tapi tetap kena mknya itu jadii tolongg ya garena dibenerin bugnya maupun bukan bug,-1
saya suka pada game ini seru banget bisa memulihin akun saya kambali lagi dan saya senang tapi saya terus ketemu sama hacker tolong bantu garena hilang akan lah citer,1
kalau sudah apdete yang benar sikit lh garena apa kok macet segala,-1
game ini bagus dan menarik setiap aku pilih game yang bagus dan baik dan tidak error,-1
tolong di perbaikan lagi minimal setelah diperbarui ada bug minimal,-1
kok habis abdet handphone saya kok patah padahal sebelumnya masih lancar,-1
garena tolol jaringan cok kenapa leg pas lagi main pelayanan pelanggan sudah jaringan pun leg mohon di perbaiki game buruknya cok masalah tim pun saya mempunyai tim tolol sedangkan lawannya pada serius memang garena tolol,-1
selalu lambat kalau main game epep minimal tolong di perbaikilah,1
sebelum diperbarui memang bagus tapi setelah diperbarui game ini sangat kurang karena suka nge stack saya lagi perang eh tiba langsung tidak bisa gerak untuk garena game nya di perbaiki demi kepentingan orang yang main gratis fire,1
gem burik setiap habis diperbarui sinyal bagus patah tidak jelas,-1
kenapa aku kasih bintang satu aku pas main baru atau pelayanan pelanggan pas ngekil musuhnya bahkan bag demeg akan anji tidak orang old mau peak yang dahulu bahkan baru tolol garena gila ganti lah peak nya biar aku kasih bintang terimakasi garena tolol,-1
banyak bug seperti bug damage gloo wall delay akurasi nya kurang padahal game otomatis aim jaringan tiba nge lagi dan masih banyak bug lain dan banyak player nge cheat pakai file tetapi tidak langsung di banned dan satu lagi developer kikirr game rusakk,1
wih update nih permain ini bagus dan menarik tapi kalau kita keluar dari aplikasi maka afk yang berjalan memain akan nya itu sangatlah mengangu terus ada dikit kekurangan mohon maaf kalau topik saya tidak jelas ya garena,-1
game nya sangat cocok untuk melatih keahlian,1
keren lebih banyak gratisnya tidak kayak game sakura atau sakaratulmaut,1
bukan semakin bagus bahkan semakin burikk tolongg kembalikan yang dahulu dan seluncuran nya di hapus jangan diperbarui mulu kasian yang ramnya kecil,-1
bagus kok game nya tapi suka diperbarui datanya besar kalau tidak diperbarui tidak bisa mabar tapi aku sudah nyaman sama ff yang dahulu tapi tidak apa aku suka gamenya seru banget,1
game nya seru tapi masih saja ada tim yang membuat kesal,1
game ini menarik banget cuma daring,1
jarinya tiba hilang saat lagi main,-1
ff sekarang makin menjadi semakin rusak dan kalau ada yang nembak tembus glowal kadang lagi lari berhenti sendiri padahal tidak dipencet apa ff sekarang pas diperbarui semakin menjadi,-1
gratis fire ini sangat menyenangkan dan bagus tapi ada banyak bug seperti patah event nya sangat bagus aku suka kalau saat menyelesaikan misi dan boyahpass,-1
bagus tetapi season nya muncul terus tidak tahu juga tetapi saya pernah bilang game ini burik dan ternyata normal saja terima kasih telah membaca ulasan saya,1
akun lama saya hilang entah di hack atau bagaimana yang penting akun lama sudah banyak mengeluarkan uang untuk top up dan event sekarang menarik banyak hadiahnya terutama saingan battle point yng mendapatkan katana dan senjata gratis,-1
dahulu aku main poin blank terus ketemu citer dan sekarang main ff ketemu citer di tik tok siaran langsung nama hysk judul cheat ff los pesan paham pantesan aku main ff di baru rank tidak naik ternyata banyak sekali chiter memang game burik game bocah anak kecil tidak di pikirkan modal akun habis brapa gara blik evo gun pantesan kill saya tidak ada main di global aku di kick mulu njink gara mereka lihat informasi saya jelek njing,-1
bagus gamenya tapi penyimpanan nya terlalu banyak tapi tetap bagus kok untuk handphone bagus mah tapi kasian untuk handphone kentang,-1
permainan ini bagus dan saya kalau mood saiiya lagi jelek di saya main game ini,-1
gem nya sangat menarik,1
semakin di diperbarui game nya makin rusak kalian buat jaringan sudah bagus masih hilang kalian buat kayak bagaimana jaringan game ini,1
semua bug kekuar setelah diperbarui ini semua player kecewa dan memutuskan untuk pensiun,-1
maaf untuk garena kenapa ff makin tidak jelas diperbarui makin burik kembalikan lah peak seperti dahulu ini ada puluncuran main tidak jelas jadi semua player ff jadi pensi kembali akan lah peak yak dahulu garena,-1
game ini seru sekali dan tidak membuat handphone rusak ayo donload,1
beh game ini sangat cocok di mainkan saat kita tegang saat kita gabut tapi mudah mudahan di perbarui lagi terima kasih karena sudah membuatkan game seru ini,1
ini tolong di perbaikan lagi banyak bug ini baru diperbarui padahal masih ada bug tolong perbaikan,1
sangat seru bermain game ff tapi sedikit ngelek,1
ff data resource nya di kurangi lagi pang berat data game nya,-1
makin diperbarui bukan nya makin bagus bahkan mkin patah minimal sinyal bagus handphone bagus tapi main nya kenapa tiba patah minimal saya player dari baru kali ini diperbarui seperti begini begitu saja ulasan aku minimal salam booyah mohon di perbaiki minimal assalammualaikum,-1
game tidak jelass seperti kon di diperbarui bahkan makin burik saja ini game mending saya pensi epep sudah tidak seru seperti dahulu,1
apa cuma saya pas apdate mainnya jadi kaku dan aim tidak terlalu nempel tolong perbaikan garena jangan sibuk sama ivennya saja,1
gamenya bagus tapi minimal juga diperbarui terus biar player old main lagi dan handphone kentang juga bisa main itu saja dari kita,-1
